"No.[a]","Portrait","Name(Birth–Death)","Term[15]","Party[b][16]","Election","Vice President[17]","undefined"
"1","","George Washington(1732–1799)[18]","April 30, 1789–March 4, 1797","","Unaffiliated","1788–89

1792","John Adams[c]"
"2","","John Adams(1735–1826)[20]","March 4, 1797–March 4, 1801","","Federalist","1796","Thomas Jefferson[d]"
"3","","Thomas Jefferson(1743–1826)[22]","March 4, 1801–March 4, 1809","","Democratic-Republican","1800

1804","Aaron Burr

George Clinton[e]"
"4","","James Madison(1751–1836)[24]","March 4, 1809–March 4, 1817","","Democratic-Republican","1808

1812","George Clinton

Vacant afterApril 20, 1812


Elbridge Gerry[e]


Vacant afterNovember 23, 1814"
"5","","James Monroe(1758–1831)[25]","March 4, 1817–March 4, 1825","","Democratic-Republican","1816

1820","Daniel D. Tompkins"
"6","","John Quincy Adams(1767–1848)[26]","March 4, 1825–March 4, 1829","","Democratic-Republican[f]

National Republican","1824","John C. Calhoun[g]"
"7","","Andrew Jackson(1767–1845)[29]","March 4, 1829–March 4, 1837","","Democratic","1828

1832","John C. Calhoun[h]

Vacant afterDecember 28, 1832


Martin Van Buren"
"8","","Martin Van Buren(1782–1862)[30]","March 4, 1837–March 4, 1841","","Democratic","1836","Richard Mentor Johnson"
"9","","William Henry Harrison(1773–1841)[31]","March 4, 1841–April 4, 1841[e]","","Whig","1840","John Tyler"
"10","","John Tyler(1790–1862)[32]","April 4, 1841[i]–March 4, 1845","","Whig[j]

Unaffiliated","–","Vacant throughoutpresidency"
"11","","James K. Polk(1795–1849)[35]","March 4, 1845–March 4, 1849","","Democratic","1844","George M. Dallas"
"12","","Zachary Taylor(1784–1850)[36]","March 4, 1849–July 9, 1850[e]","","Whig","1848","Millard Fillmore"
"13","","Millard Fillmore(1800–1874)[37]","July 9, 1850[k]–March 4, 1853","","Whig","–","Vacant throughoutpresidency"
"14","","Franklin Pierce(1804–1869)[39]","March 4, 1853–March 4, 1857","","Democratic","1852","William R. King[e]

Vacant afterApril 18, 1853"
"15","","James Buchanan(1791–1868)[40]","March 4, 1857–March 4, 1861","","Democratic","1856","John C. Breckinridge"
"16","","Abraham Lincoln(1809–1865)[41]","March 4, 1861–April 15, 1865[e]","","Republican

National Union[l]","1860

1864","Hannibal Hamlin

Andrew Johnson"
"17","","Andrew Johnson(1808–1875)[43]","April 15, 1865–March 4, 1869","","National Union[m]

Democratic","–","Vacant throughoutpresidency"
"18","","Ulysses S. Grant(1822–1885)[44]","March 4, 1869–March 4, 1877","","Republican","1868

1872","Schuyler Colfax

Henry Wilson[e]


Vacant afterNovember 22, 1875"
"19","","Rutherford B. Hayes(1822–1893)[45]","March 4, 1877–March 4, 1881","","Republican","1876","William A. Wheeler"
"20","","James A. Garfield(1831–1881)[46]","March 4, 1881–September 19, 1881[e]","","Republican","1880","Chester A. Arthur"
"21","","Chester A. Arthur(1829–1886)[47]","September 19, 1881[n]–March 4, 1885","","Republican","–","Vacant throughoutpresidency"
"22","","Grover Cleveland(1837–1908)[50]","March 4, 1885–March 4, 1889","","Democratic","1884","Thomas A. Hendricks[e]

Vacant afterNovember 25, 1885"
"23","","Benjamin Harrison(1833–1901)[51]","March 4, 1889–March 4, 1893","","Republican","1888","Levi P. Morton"
"24","","Grover Cleveland(1837–1908)[50]","March 4, 1893–March 4, 1897","","Democratic","1892","Adlai Stevenson I"
"25","","William McKinley(1843–1901)[52]","March 4, 1897–September 14, 1901[e]","","Republican","1896

1900","Garret Hobart[e]

Vacant afterNovember 21, 1899


Theodore Roosevelt"
"26","","Theodore Roosevelt(1858–1919)[53]","September 14, 1901–March 4, 1909","","Republican","–

1904","Vacant throughMarch 4, 1905

Charles W. Fairbanks"
"27","","William Howard Taft(1857–1930)[54]","March 4, 1909–March 4, 1913","","Republican","1908","James S. Sherman[e]

Vacant afterOctober 30, 1912"
"28","","Woodrow Wilson(1856–1924)[55]","March 4, 1913–March 4, 1921","","Democratic","1912

1916","Thomas R. Marshall"
"29","","Warren G. Harding(1865–1923)[56]","March 4, 1921–August 2, 1923[e]","","Republican","1920","Calvin Coolidge"
"30","","Calvin Coolidge(1872–1933)[57]","August 2, 1923[o]–March 4, 1929","","Republican","–

1924","Vacant throughMarch 4, 1925

Charles G. Dawes"
"31","","Herbert Hoover(1874–1964)[60]","March 4, 1929–March 4, 1933","","Republican","1928","Charles Curtis"
"32","","Franklin D. Roosevelt(1882–1945)[61]","March 4, 1933–April 12, 1945[e]","","Democratic","1932

1936


1940


1944","John Nance Garner

Henry A. Wallace


Harry S. Truman"
"33","","Harry S. Truman(1884–1972)[62]","April 12, 1945–January 20, 1953","","Democratic","–

1948","Vacant throughJanuary 20, 1949

Alben W. Barkley"
"34","","Dwight D. Eisenhower(1890–1969)[63]","January 20, 1953–January 20, 1961","","Republican","1952

1956","Richard Nixon"
"35","","John F. Kennedy(1917–1963)[64]","January 20, 1961–November 22, 1963[e]","","Democratic","1960","Lyndon B. Johnson"
"36","","Lyndon B. Johnson(1908–1973)[65]","November 22, 1963–January 20, 1969","","Democratic","–

1964","Vacant throughJanuary 20, 1965

Hubert Humphrey"
"37","","Richard Nixon(1913–1994)[66]","January 20, 1969–August 9, 1974[h]","","Republican","1968

1972","Spiro Agnew[h]

Vacant:October 10 – December 6, 1973


Gerald Ford[p]"
"38","","Gerald Ford(1913–2006)[67]","August 9, 1974–January 20, 1977","","Republican","–","Vacant throughDecember 19, 1974

Nelson Rockefeller[p]"
"39","","Jimmy Carter(b. 1924)[68]","January 20, 1977–January 20, 1981","","Democratic","1976","Walter Mondale"
"40","","Ronald Reagan(1911–2004)[69]","January 20, 1981–January 20, 1989","","Republican","1980

1984","George H. W. Bush"
"41","","George H. W. Bush(1924–2018)[70]","January 20, 1989–January 20, 1993","","Republican","1988","Dan Quayle"
"42","","Bill Clinton(b. 1946)[71]","January 20, 1993–January 20, 2001","","Democratic","1992

1996","Al Gore"
"43","","George W. Bush(b. 1946)[72]","January 20, 2001–January 20, 2009","","Republican","2000

2004","Dick Cheney"
"44","","Barack Obama(b. 1961)[73]","January 20, 2009–January 20, 2017","","Democratic","2008

2012","Joe Biden"
"45","","Donald Trump(b. 1946)[74]","January 20, 2017–January 20, 2021","","Republican","2016","Mike Pence"
"46","","Joe Biden(b. 1942)[13]","January 20, 2021–Incumbent","","Democratic","2020","Kamala Harris"